amenity,amenity_category
place_of_worship,community
community_centre,community
library,community
social_facility,community
social_club,community
townhall,community
shelter,community
public_building;place_of_worship,community
private_club,community
social_centre,community
club,community
public_bookcase,community
community_hall,community
youth_centre,community
church_hall,community
leisure_centre,community
learned_society;library,community
monastery,community
village_hall,community
clubhouse,community
religious_precinct,community
community_centre;preschool,community
civic_centre,community
place_of_worship;conference_centre,community
public_hall,community
studio,culture_entertainment
theatre,culture_entertainment
cinema,culture_entertainment
arts_centre,culture_entertainment
music_venue,culture_entertainment
events_venue,culture_entertainment
cultural_centre,culture_entertainment
escape_game,culture_entertainment
art_gallery,culture_entertainment
club_house,culture_entertainment
art,culture_entertainment
concert_hall,culture_entertainment
studio;theatre,culture_entertainment
music,culture_entertainment
gallery,culture_entertainment
art_studio,culture_entertainment
cafe,eatery
restaurant,eatery
fast_food,eatery
ice_cream,eatery
fast_food;restaurant,eatery
food_court,eatery
bbq,eatery
deli,eatery
canteen,eatery
juice_bar,eatery
restaurant;cafe,eatery
bar;restaurant,eatery
pizzeria,eatery
bank,economic_activity
bureau_de_change,economic_activity
conference_centre,economic_activity
shopping,economic_activity
marketplace,economic_activity
money_transfer,economic_activity
convenience_store,economic_activity
business,economic_activity
tailor,economic_activity
dry_cleaners,economic_activity
shop,economic_activity
shared_office,economic_activity
coworking_space,economic_activity
estate_agent,economic_activity
office,economic_activity
stock_exchange,economic_activity
coworking_space;cafe,economic_activity
research_institute,economic_activity
market,economic_activity
serviced_office,economic_activity
shops,economic_activity
cobbler,economic_activity
mall,economic_activity
forex,economic_activity
wholesale,economic_activity
antiques,economic_activity
credit_union,economic_activity
school,education
college,education
driving_school,education
university,education
skills_centre,education
training,education
language_school,education
dancing_school,education
adult_education,education
education,education
music_school,education
student_accommodation,education
prep_school,education
driving_test_centre,education
trade_school,education
school_playground,education
tuition,education
cookery_school,education
childcare,family
kindergarten,family
nursing_home,family
nursery,family
retirement_home,family
residential_home,family
preschool,family
Childrens Centre,family
care_home,family
children_centre,family
child_care,family
childrens_play_centre,family
telephone,misc
post_box,misc
recycling,misc
waste_basket,misc
atm,misc
toilets,misc
bench,misc
drinking_water,misc
grit_bin,misc
vending_machine,misc
notice_board,misc
water_point,misc
litter_bin,misc
sanitary_dump_station,misc
waste_transfer_station,misc
refuse_incinerator,misc
dry_cleaner,misc
parking,mobility
bicycle_parking,mobility
motorcycle_parking,mobility
bicycle_rental,mobility
taxi,mobility
charging_station,mobility
car_sharing,mobility
fuel,mobility
car_rental,mobility
bus_station,mobility
parking_space,mobility
parking_entrance,mobility
car_wash,mobility
bicycle_repair_station,mobility
bus_garage,mobility
minicab,mobility
van_rental,mobility
taxi_point,mobility
ferry_terminal,mobility
boat_parking,mobility
station_entrance,mobility
boat_rental,mobility
minicab_office,mobility
Minicab Office,mobility
micro_scooter_parking,mobility
scooter_parking,mobility
bicycle_pump,mobility
pub,nightlife
bar,nightlife
nightclub,nightlife
biergarten,nightlife
stripclub,nightlife
bar;nightclub,nightlife
beer_garden,nightlife
hookah_lounge,nightlife
snooker_hall,nightlife
fountain,community
observatory,community
court_yard,community
garden,community
gardens,community
water_fountain,misc
sculpture,misc
courtyard,community
public_building,public_services
post_office,public_services
police,public_services
delivery_office,public_services
collection_point,public_services
waste_disposal,public_services
embassy,public_services
courthouse,public_services
post_depot,public_services
housing_office,public_services
fire_station,public_services
register_office,public_services
Housing Office,public_services
delivery_depot,public_services
consulate,public_services
postal_sorting_office,public_services
post_pickup,public_services
court_house,public_services
municipal,public_services
local government office,public_services
parliament,public_services
courier,public_services
pharmacy,wellbeing
doctors,wellbeing
dentist,wellbeing
clinic,wellbeing
veterinary,wellbeing
hospital,wellbeing
dojo,wellbeing
spa,wellbeing
health_centre,wellbeing
ball court,wellbeing
medical_centre,wellbeing
counselling,wellbeing
swimming_pool,wellbeing
gym,wellbeing
meditation_centre,wellbeing
hospice,wellbeing
sport,wellbeing
sports_club,wellbeing
hospital_department,wellbeing
medical,wellbeing
surgery,wellbeing
alternative_health,wellbeing
health_club,wellbeing
therapists,wellbeing
health,wellbeing
dive_centre,wellbeing
healthcare,wellbeing
paddling_pool,wellbeing
sun_lounge,wellbeing
chiropodist,wellbeing
